venue,recommendation_status,muis_directory_result,muis_checked_at,ownership_claim,alcohol_policy,pork_policy,official_status_url,menu_url,menu_checked_at,price_sgd,service_days,address,booking_url,award_source,visit_status,visit_date,visit_owner,payment_or_hosting,image_source,image_rights,notes
Restaurant Fiz,review,,,,,,,,,,,,,,,,,,,,
Seroja,review,,,,,,,,,,,,,,,,,,,,
The White Label Restaurant,review,,,,,,,,,,,,,,,,,,,,
Restaurant Espoir,review,,,,,,,,,,,,,,,,,,,,
Oud Restaurant,review,,,,,,,,,,,,,,,,,,,,
Permata at Gedung Kuning,review,,,,,,,,,,,,,,,,,,,,
The Malayan Council at Fullerton,review,,,,,,,,,,,,,,,,,,,,
Malayan Settlement,review,,,,,,,,,,,,,,,,,,,,
Charr'd,review,,,,,,,,,,,,,,,,,,,,
Gyusei Gyukatsu Wagyu Steakhouse,review,,,,,,,,,,,,,,,,,,,,
Ammakase,review,,,,,,,,,,,,,,,,,,,,
Rempapa by Chef Damian D'Silva,remove-from-recommendations,,,,,,,,,,,,,,,,,,,,
